random,141293
Oracle,140458
trout,137242
attacker,132682
StrangeFish2,116800
Autobot,44358
StrangeFish,43202
Testudo,42441
penumbra,36818
DynamicEntropy,29152
Fianchetto,26610
Zugzwang,24685
Marmot,23988
ROOKie,21820
JKU-CODA,17185
genetic,11245
kiejthetetlen_pazmany,9327
SomeRegret,6244
Kevin,5776
wbernar5,4834
GarrisonNRL,4574
LaSalle Bot,4510
IEUC-bot,3366
Chrisi,3239
Gnash,2820
Stockenstein,2239
ChessProfessorX,1815
URChIn,1757
chrisi_aggr_,1704
apltest0,1569
apltest1,1568
NOOBDON,1559
apltest2,1553
apltest3,1552
apltest6,1534
apltest7,1534
apltest5,1534
apltest4,1534
armandli,1527
apltest13,1506
apltest9,1506
apltest14,1506
apltest12,1506
apltest15,1506
apltest10,1506
apltest8,1506
apltest11,1506
Châteaux,1494
apltest20,1476
apltest19,1476
apltest17,1476
apltest22,1476
apltest23,1476
apltest21,1476
apltest16,1476
apltest18,1476
callumcanavan,1079
chrisi_eval_,1074
apltest30,1062
apltest29,1062
apltest26,1062
apltest24,1062
apltest28,1062
apltest27,1062
apltest31,1062
apltest25,1062
Frampt,1056
Bonum,1033
XChessPlayer1,1025
arandombot,1024
srcork,1021
ai_games_cvi,1020
uccch,1020
uccchess,1020
ynw-AI,976
A_Bot,957
Chessnut,927
RonWeasley,900
don_quixote,822
apltest53,810
apltest54,810
apltest36,810
apltest61,810
apltest49,810
apltest55,810
apltest39,810
apltest34,810
apltest59,810
apltest52,810
apltest51,810
apltest40,810
apltest47,810
apltest35,810
apltest63,810
apltest43,810
apltest42,810
apltest57,810
apltest56,810
apltest46,810
apltest45,810
apltest37,810
apltest60,810
apltest62,810
apltest33,810
apltest32,810
apltest48,810
apltest38,810
apltest50,810
apltest44,810
apltest41,810
apltest58,810
chrisi_baseline,779
DotModus_Chris,739
TimoBertram,705
MBot,667
Landsknecht,598
Fringehead,596
nthieu173,588
R.CON,583
MoreDeterminedBot,572
XChessPlayer,566
TOEFL,550
TEST123789,539
IsaacBot,535
StonkFish,528
apltest69,432
apltest68,432
apltest70,432
apltest65,432
apltest67,432
apltest71,432
apltest64,432
apltest66,432
theAgent,425
tutorial - moves randomly,361
HoodlePoodle2,340
Ohio_State_Undergrad,333
BagelBytesBot,330
Hope,314
Skrrt Bot,312
fishstrange,309
IE-bot,298
Dominik,264
noscope,248
Darkfish,244
proboscis,178
test,178
apltest73,148
apltest72,148
apltest74,148
Oop,145
DotModus_Astronaut,143
LaQ-Bot,139
Bot-vinnik,131
androidtest,122
hydroblade,116
EriksBot,115
esq601,96
anvay,94
montreal.summer,93
Bucky,89
Siggy,88
ryogen,87
pie31415,87
GMBot,86
Andrii,84
Yawningtractor,81
thayes46,80
BadHumanPlayer1,73
FishyBot,71
notRL,69
IMGO,66
mrobin_bot,64
guest-5669,63
dmaloney224,60
Mikh-ai-l Tal,48
sk,42
dragonFlies,42
ubuntu,41
Hristo,40
moradnejad,39
andre,39
SyntholFish,37
Spicy Penguins,36
lahoudalan,30
emiliodc,29
anhdungbk,28
Nikita,27
Minnow,22
bsps,21
HestiaBestia,21
TBandit,20
totally-not-a-robot,19
aaronthewinner,17
makgyver,16
LamSidz,15
Kei,15
electricdream,14
guest-24886,14
pakelitsch,13
botyfisher,12
guest-13126,12
western,12
guest-57316,11
anon143,11
guest-51419,10
vofak,10
hellow,9
tlehrfe2,9
zabolsh,9
guest-53612,7
Gogogo_RBC,7
SmashBM,7
guest-10907,7
Anissa,7
imh,6
Whatever,6
androidtest2,6
guest-44078,6
guest-2500,5
guest-35840,5
mitchellostrow,5
Saranga7,5
guest-57256,5
SSS,5
guest-1101,4
IronTigran,4
guest-46568,4
ynw-bot,4
guest-51659,4
guest-11206,4
guest-9630,4
guest-35796,4
joeljosephjin@gmail.com,4
guest-31090,4
pitocles,4
guest-20037,4
SyntolFish,4
guest-60886,4
AppSupport,4
guest-34958,4
guest-41314,3
guest-38399,3
guest-23696,3
coralexbadea,3
guest-6652,3
guest-37472,3
guest-44587,3
guest-47672,3
guest-33512,3
guest-30596,3
guest-16631,3
cliao25,3
admin,3
guest-41997,3
guest-54467,3
guest-41475,3
barnhbe1,3
guest-21825,3
guest-44884,3
guest-9255,3
guest-19946,3
guest-64713,3
guest-18378,3
guest-26892,3
guest-16407,3
guest-46897,3
guest-29306,3
guest-34263,3
hodor,3
guest-34614,3
guest-46120,3
guest-30175,3
guest-60554,3
guest-2957,3
guest-47529,3
